細分類,細分類名
210907,脱臭剤
210909,除湿・防湿剤、乾燥剤
210997,その他住居・環境用剤
211001,床用ワックス
211003,靴墨、靴用クリーム
211097,その他家庭用つや出し類
211101,殺虫剤
211103,防虫剤
211105,蚊取り線香
211107,蚊取りマット
211109,電子蚊取り器
211111,ゴキブリ捕獲器
211197,その他殺虫・防虫剤
219701,撥水剤
219703,しみぬき・ベンジン
219705,風呂水清浄剤
219707,静電気防止剤
219711,眼鏡洗浄剤
219713,使い捨てカイロ
219797,その他日用雑貨
220101,ドリンク剤
220103,ミニドリンク剤
220105,滋養強壮剤
220107,強肝解毒剤
220109,カルシウム剤
220111,女性用保健薬
220113,薬用酒
220115,ビタミンＢ1剤
220117,ビタミンＣ剤
220119,ビタミンＥ剤
220121,総合ビタミン剤
220123,その他ビタミン剤
220197,その他栄養保健薬
220201,総合感冒剤
220203,鼻炎用剤
220205,鎮咳去痰剤
220207,トローチ剤
220209,うがい薬
220211,解熱鎮痛剤
220213,鎮暈剤
220215,催眠鎮静剤
220217,眠気防止剤
220219,アレルギー用薬
220297,その他神経・呼吸器官系薬
220301,胃腸薬
220303,整腸・止写薬
220305,便秘薬
220307,浣腸剤
220309,歯槽膿漏治療剤
220311,痔疾用剤
220313,駆虫薬
220397,その他消化器官用薬
220401,目薬
220403,皮膚治療薬
220405,皮膚殺菌消毒剤
220407,水虫薬
220409,パップ剤
220411,外用鎮痛消炎剤
220413,毛髪用剤
220415,皮膚病用内服薬
220497,その他感覚器官・外皮用薬
220501,漢方・生薬
229701,強心剤
229703,その他循環器官用薬
229705,小児五疳薬
229707,避妊薬
229709,診断薬
229711,殺虫剤（医薬品）
229713,調剤用薬
229715,局方品
229797,その他医薬品
230101,メイクリムーバー
230103,スキンクリーム
230105,コールドクリーム
230107,ハンドクリーム
230109,乳液
230111,化粧水
230113,パック
230115,ボディ用
230117,クレンジング・洗顔料
230121,リップクリーム
230123,美容液
230197,その他基礎化粧品
230201,おしろい
230203,アイライナー
230205,アイシャドー
230207,マスカラ
230209,ファンデーション
230211,化粧下地
230213,口紅
230215,マニキュア
230217,ほお紅
230219,眉墨
230297,その他メイクアップ化粧品
230301,香水
230303,コロン・トワレ
230305,制汗防臭剤
230397,その他フレグランス
230401,ヘアークリーム
230403,ヘアートニック
230405,ヘアースプレー
230407,セットローション
230409,ヘアーカラー
230411,シャンプー
230413,ヘアーリンス
230415,ヘアートリートメント
230417,ブラッシング剤
230419,ブロー剤
230421,パーマ剤
230423,育毛・養毛剤
230497,その他頭髪化粧品
230501,シェービングクリーム・フォーム
230503,スキンクリーム・ミルク
230505,アフターシェーブローション
230507,ヘアリキッド
230509,スタイリング剤
230511,ポマード・チック
230513,チック
230515,養毛剤
230517,ヘアートニック
230519,ヘアークリーム
230521,ヘアースプレー
230523,フレグランス
230525,メイキャップ
230597,その他男性化粧品
230601,カミソリ類
230603,ヘアーケア用具
230605,フェイス用化粧用具
230607,ボディ用化粧用具
230697,その他化粧小物
239797,その他化粧品
240101,ラッピングフィルム
240103,アルミホイル
240197,その他食品包装
240201,ゴミ袋
