細分類,細分類名
510817,子供ジーンズ
510819,子供ジーンズトップス
510897,ジーンズ一般
519797,その他一般衣料・衣服
530101,掛ふとん
530103,敷ふとん
530105,肌ふとん
530107,組ふとん
530109,組座ふとん
530111,マットレス
530113,まくら
530197,ふとん一般
530201,純毛毛布
530203,合繊毛布
530205,綿毛布
530207,夜着毛布
530209,電気毛布
530211,ひざ掛毛布
530297,毛布一般
530301,掛カバー
530303,敷カバー
530305,肌カバー
530307,毛布カバー
530309,枕カバー
530311,衿カバー
530313,シーツ
530397,カバー・シーツ一般
530401,ベッド用ふとん
530403,ベッドパット
530405,ベッドスプレッド
530407,ベッド用毛布
530409,ベッド用タオルケット
530411,ベッド用シーツ
530413,ベッド用枕
530415,ベッド
530497,ベッド用品一般
530501,コタツふとん
530503,コタツ敷ふとん
530505,コタツふとんカバー
530507,コタツ上掛
530509,コタツ毛布
530511,暖卓・天板
530513,座いす
530515,座ぶとん
530517,座布団カバー
530597,コタツ用品一般
530601,ベビー組ふとん
530603,ベビー掛ふとん
530605,ベビー敷ふとん
530607,ベビー肌ふとん
530609,ベビー毛布
530611,ベビータオルケット
530613,ベビー用カバーシーツ
530615,ベビー枕
530617,ベビーベッド
530697,ベビー寝具一般
530701,パジャマ
530703,ネグリジェ
530705,ガウン
530707,ロープ
530709,ねまき
530711,ポンチョ
530713,甚平
530797,寝装品一般
530801,バスタオル
530803,フェイスタオル
530805,ハンドタオル
530807,スポーツタオル
530809,バスローブ
530811,トイレ用品
530813,タオルケット
530897,タオル製品一般
530901,カーテン・ブラインド
530903,カーペット・敷物類
530905,マット・ラグ
530907,クッション
530909,インテリア雑貨
530911,ダイニング・キッチン用品
530913,バス用品
530915,壁材
530997,室内用品一般
539797,その他一般寝具・寝装品
540101,ハンカチーフ
540103,マフラー・スカーフ
540105,ネクタイ
540107,蝶ネクタイ・アスコット・ループタイ
540109,ベルト・サスペンダー
540111,手袋
540113,帽子
540197,子供服飾一般
540201,ハンカチーフ
540203,マフラー・スカーフ
540205,ネクタイ
540207,蝶ネクタイ・アスコット・ループタイ
540209,ベルト・サスペンダー
540211,手袋
540213,帽子
540297,紳子服飾一般
540301,ハンカチーフ
540303,マフラー
540305,ネクタイ
540307,蝶ネクタイ・アスコット・ループタイ
540309,ベルト・サスペンダー
540311,手袋
540313,帽子
540397,婦人服飾一般
540401,帯どめ
540403,帯あげ
540405,腰ひも・だて巻
540407,羽織ひも
540409,半えり
540411,すそよけ（けだし）
540497,和装用身の回り品一般
540501,ハンドバッグ
540503,小物入れ
540505,ファッションバッグ
540597,袋物一般
540601,旅行用カバン
540603,事務用かばん
540605,学生かばん
540607,スポーツ・レジャー用かばん
540609,楽器用ケース
540611,光学機器・ラジオ用ケース
540613,職業用かばん
540697,かばん一般
540701,和がさ
540703,洋傘
540705,つえ（ステッキ）
540797,かさ・つえ一般
540801,扇子
540803,うちわ
540805,扇子・うちわの部品
540897,扇子・うちわ一般
540901,指輪
540903,ネックレス
540905,イヤリング
540907,ブレスレット類
540909,ペンダント
540911,ブローチ、ハットピン類
540913,カラーボタン類
540915,頭・髪飾り
540997,装身具一般
549701,衛生衣服附属品
549703,レギンス
549705,財布類
549707,喫煙具
549797,その他一般身の回り品
550101,シューズ
550104,ブーツ
550107,サンダル
550109,その他靴
550210,チャイルドシューズ
550211,ジュニアシューズ
550212,パンプス
550213,シューズ
550214,ブーツ
550216,スポーツシューズ
550217,サンダル
550218,ヘップサンダル
550219,その他靴
550320,チャイルドシューズ
550321,ジュニアシューズ
550323,スクールシューズ
550324,ウインターシューズ
550325,レインシューズ
550326,スポーツシューズ
550327,サンダル
550329,その他靴
550430,レース（革底）
550431,レース
550432,スリポン（革底）
550433,スリポン
550434,ブーツ（革底）
550435,ブーツ
550436,スポーツシューズ
550437,サンダル
550439,その他靴
550541,レース
550543,スリポン
550544,ブーツ
550546,スポーツシューズ
550547,サンダル
550548,ヘップサンダル
550549,その他靴
550651,スタンダードカジュアルシューズ
550654,ウインターシューズ
550655,レインシューズ
550656,スポーツシューズ
550659,その他靴
550762,パンプス
550763,シューズ
550764,ブーツ
550766,スポーツシューズ
550767,サンダル
550769,その他靴
550779,不明靴
550872,パンプス
550873,シューズ
550874,ブーツ
550875,レインシューズ
550876,スポーツシューズ
550877,サンダル
550878,ヘップサンダル
550879,その他靴
550981,スタンダードカジュアルシューズ
550984,ウインターシューズ
550985,レインシューズ
550986,スポーツシューズ
550989,その他靴
551090,付属品
551091,ルームシューズ
551092,スリッパ
551093,下駄草履
551094,安全靴
551095,作業靴地下足袋
551096,スポーツ専用
551097,ビーチサンダル・フィッティング
560101,野球用具
560103,ソフトボール用具
560105,野球シューズ
560107,ソフトボールシューズ
560109,野球ウェア
560111,ソフトボールウエア
560197,野球・ソフトボール用具一般
560201,バスケットボール用具
560203,バレーボール用具
560205,ラグビー用具
560207,サッカー用具
560209,アメリカンフットボール用具
560211,ハンドボール用具
560213,ドッジボール用具
560215,バスケットボールシューズ
560217,バレーボールシューズ
560219,ラグビーシューズ
560221,サッカーシューズ
560223,アメリカンフットボールシューズ
560225,ハンドボールシューズ
560227,その他球技用シューズ
560229,バスケットボールウェア
560231,バレーボールウェア
560233,ラグビーウェア
560235,サッカーウェア
560237,アメリカンフットボールウェア
560239,ハンドボールウェア
560241,その他球技用ウェア
560297,球技用具一般
560301,フィールド用具
560303,トラック用具
560305,シューズ
560307,ウェア
560397,フィールド・トラック用具一般
560401,テニス用具
560403,卓球用具
560405,バドミントン用具
560407,テニスシューズ
560409,卓球シューズ
560411,バドミントンシューズ
560413,テニスウェア
560415,卓球ウェア
560417,バドミントンウェア
560497,テニス用具等一般
560501,ゴルフ用具
560503,フィールドホッケー用具
560505,ボウリング用具
560507,ゲートボール用具
560509,ゴルフシューズ
560511,フィールドホッケーシューズ
560513,ボーリングシューズ
560515,ゲートボールシューズ
560517,ゴルフウェア
560519,フィールドホッケーウェア
560521,ボウリングウェア
560523,ゲートボールウェア
560597,ゴルフ用具等一般
560601,スキー用具
560603,アイスホッケー用具
560605,アイススケート用具
560607,ローラースケート用具
560609,スキーシューズ
560611,アイスホッケーシューズ
560613,アイススケートシューズ
560615,ローラースケートシューズ
560617,スキーウェア
560619,アイスホッケーウェア
560621,アイススケートウェア
560623,ローラースケートウェア
560697,スキー用具等一般
560701,ボクシング用具
560703,弓用具
560705,フェンシング用具
560707,剣道用具
560709,空手用具
560711,なぎなた用具
560713,銃剣道用具
560715,ボクシングシューズ
560717,フェンシングシューズ
560719,ボクシングウェア
560721,フェンシングウェア
560723,武道衣
560797,格闘用具一般
560801,とび箱
560803,スプリング及び跳躍板（踏切板）
560805,平行棒及び段違い平行棒
560807,平均台
560809,鉄棒
560811,つり輪及びゆか
560813,あんば（鞍馬）及び跳馬
560815,マット及び着地マット
560817,シューズ
560819,ウェア
560897,体操用具一般
560901,釣具
560903,水泳用具
560905,スキン・スクーバダイビング用具
560907,サーフィン用具
560909,ボードセーリング用具
560911,ヨット・モーターボート用具
560913,カヌー用具
560915,水上スキー用具
560917,釣用シューズ
560919,ヨット・モーターボートシューズ
560921,釣用ウェア
560923,水着
560925,ダイビング用ウェア
560927,サーフィン用ウェア
560929,ボードセーリングウェア
560931,ヨット・モーターボートウェア
560933,カヌー用ウェア
560935,水上スキー用ウェア
560997,釣具等一般
569701,登山用具
569703,サイクリング用具
569705,ジョギング・ウォーキング用具
569707,トレーニング用具
569709,射撃用具（武器及び漁具を除く）
569711,乗馬用具
569713,登山シューズ
569715,サイクリングシューズ
569717,ジョギング・ウォーキングシューズ
569719,トレーニングシューズ
569721,射撃用シューズ
569723,乗馬用シューズ
569725,その他シューズ
569727,登山ウェア
569729,サイクリングウェア
569731,ジョギング・ウォーキングウェア
569733,トレーニングウェア
569735,射撃用ウェア
569737,乗馬用ウェア
569739,その他ウェア
569797,その他一般スポーツ用品
