command,data_set,real,user,sys,user_sys
msortf,400_rand,7.088,8.701,0.802,9.503
xtsort,400_rand,6.534,4.392,0.779,5.171
msortf,500_rand,7.753,10.945,1.017,11.962
xtsort,500_rand,8.484,5.488,0.985,6.473
msortf,600_rand,12.724,13.361,1.242,14.603
xtsort,600_rand,10.856,6.603,1.174,7.777
msortf,700_rand,10.613,15.593,1.378,16.971
xtsort,700_rand,11.254,7.804,1.38,9.184
msortf,800_rand,16.203,17.967,1.627,19.594
xtsort,800_rand,20.436,9.012,1.731,10.743
msortf,900_rand,23.425,20.473,2.035,22.508
xtsort,900_rand,23.93,10.197,1.951,12.148
msortf,1000_rand,25.471,22.351,2.248,24.599
xtsort,1000_rand,31.458,11.492,2.344,13.836
msortf,100_100,1.428,1.858,0.21,2.068
xtsort,100_100,1.415,0.977,0.115,1.092
msortf,200_100,3.417,4.106,0.47,4.576
xtsort,200_100,5.034,2.196,0.41,2.606
msortf,300_100,4.33,6.204,0.649,6.853
xtsort,300_100,4.712,3.304,0.59,3.894
msortf,400_100,5.991,8.311,0.829,9.14
xtsort,400_100,6.927,4.446,0.777,5.223
msortf,500_100,7.757,10.473,1.003,11.476
xtsort,500_100,8.486,5.59,0.984,6.574
msortf,600_100,9.276,12.598,1.21,13.808
xtsort,600_100,10.124,6.673,1.34,8.013
msortf,700_100,10.703,14.795,1.361,16.156
xtsort,700_100,16.59,7.957,1.471,9.428
msortf,800_100,22.188,17.028,1.838,18.866
xtsort,800_100,24.761,9.148,1.725,10.873
msortf,900_100,13.59,19.05,1.825,20.875
xtsort,900_100,26.604,10.387,2.161,12.548
msortf,1000_100,30.238,21.524,2.388,23.912
xtsort,1000_100,29.714,11.717,2.231,13.948
msortf,100_rand,1.244,1.971,0.202,2.173
xtsort,100_rand,1.107,0.943,0.11,1.053
msortf,200_rand,3.645,4.282,0.479,4.761
xtsort,200_rand,4.449,2.2,0.564,2.764
msortf,300_rand,4.868,6.45,0.645,7.095
xtsort,300_rand,4.877,3.294,0.585,3.879
msortf,400_rand,8.371,8.748,0.845,9.593
xtsort,400_rand,7.66,4.374,0.769,5.143
msortf,500_rand,7.379,10.925,1.005,11.93
xtsort,500_rand,8.525,5.507,0.974,6.481
msortf,600_rand,9.596,13.291,1.198,14.489
xtsort,600_rand,10.464,6.666,1.209,7.875
msortf,700_rand,13.93,15.624,1.417,17.041
xtsort,700_rand,11.638,7.751,1.387,9.138
msortf,800_rand,20.731,18.032,1.848,19.88
xtsort,800_rand,22.017,9.05,1.735,10.785
msortf,900_rand,27.928,20.224,2.149,22.373
xtsort,900_rand,24.962,10.212,1.929,12.141
msortf,1000_rand,16.66,22.362,1.949,24.311
xtsort,1000_rand,31.438,11.523,2.349,13.872
msortf,100_100,1.513,1.898,0.214,2.112
xtsort,100_100,1.204,0.947,0.112,1.059
msortf,200_100,4.529,4.111,0.492,4.603
xtsort,200_100,5.491,2.204,0.422,2.626
msortf,300_100,5.007,6.178,0.632,6.81
xtsort,300_100,5.366,3.291,0.599,3.89
msortf,400_100,7.589,8.341,0.827,9.168
xtsort,400_100,7.025,4.424,0.813,5.237
msortf,500_100,9.621,10.461,1.03,11.491
xtsort,500_100,12.695,5.636,1.093,6.729
msortf,600_100,10.502,12.577,1.209,13.786
xtsort,600_100,16.48,6.801,1.312,8.113
msortf,700_100,13.679,14.883,1.382,16.265
xtsort,700_100,19.904,8.002,1.528,9.53
msortf,800_100,24.106,17.008,1.882,18.89
xtsort,800_100,24.655,9.108,1.871,10.979
msortf,900_100,30.609,19.072,2.224,21.296
xtsort,900_100,29.933,10.329,2.118,12.447
msortf,1000_100,39.966,21.191,2.563,23.754
xtsort,1000_100,34.835,11.72,2.346,14.066
msortf,100_rand,1.487,1.969,0.207,2.176
xtsort,100_rand,1.238,0.951,0.111,1.062
msortf,200_rand,4.139,4.258,0.494,4.752
xtsort,200_rand,3.581,2.149,0.409,2.558
msortf,300_rand,5.788,6.457,0.665,7.122
xtsort,300_rand,6.165,3.308,0.608,3.916
msortf,400_rand,8.192,8.75,0.869,9.619
xtsort,400_rand,7.318,4.39,0.815,5.205
msortf,500_rand,8.133,10.949,1.015,11.964
xtsort,500_rand,8.675,5.496,0.981,6.477
msortf,600_rand,12.284,13.328,1.206,14.534
xtsort,600_rand,14.305,6.737,1.278,8.015
msortf,700_rand,14.716,15.568,1.443,17.011
xtsort,700_rand,20.921,7.918,1.501,9.419
msortf,800_rand,24.886,18.102,1.85,19.952
xtsort,800_rand,25.393,9.126,1.84,10.966
